name,degree,duration,department,city,state,credit,toefl,description,gpa,areas,payment_type,payment_per_unit,total_payment,living_costs_min,living_costs_max
Digital Media Connect,M.Sc.,12,Northeastern University,Boston,Massachusetts,30.0,79,"<p>For students considering a career change into digital media, this Digital Media Connect program from Northeastern University will help you connect your current background to a new digital media path. Courses focus on visual communications, programming foundations, and web creation. Once the bridge courses are completed, students move into the main MPS in Digital Media degree course requirements.</p><h4>Unique Features</h4><ul><li>Change careers and break into the digital media industry without getting a second bachelor&#039;s degree. Prospective students should be aware that there are 12 quarter hours required of programming coursework that should be completed in the first quarter of the program.</li><li>Four foundation courses provide students with a strong bridge to connect their current background to a new digital media path.</li><li>Complete an in-depth capstone experience working under the guidance of a faculty advisor.</li><li>Six concentration options provide a specialized focus on distinctive areas of digital media, and optional digital media workshops are also available.</li><li>Cohort program format is designed to enhance collaboration and networking opportunities for students.</li></ul>",3.0,"Web Technologies & Cloud Computing,Digital Communication,Digital Marketing",3,53000,53000,1560,3239
Computer Science - Professional Science,M.Sc.,12,The University of Arizona,Tucson,Arizona,30.0,80,"<p>The Computer Science - Professional Science program is offered by University of Arizona.</p><p>The department&#039;s programs prepare graduate students for positions in the design and development of computer systems and applications in business and industry and for scientific positions in industrial or academic computing research.&nbsp;</p><h4>Educational Opportunities</h4><p>Areas of research interest within the department currently include algorithms (bioinformatics, geometric, graph), artificial intelligence (natural language processing, machine learning, vision), parallel, distributed, and high performance computing, programming languages and compilers, security, systems (operating systems, networking, storage, databases), and visualization and graphics.</p>",3.0,"Computer Sciences,Artificial Intelligence,Machine Learning",4,10063,20126.0,830,1140
Human-Centered Design and Engineering,M.Sc.,12,University of Michigan - Dearborn,Dearborn,Michigan,31.0,84,"<p>The MS in Human-Centered Design and Engineering at University of Michigan - Dearborn&nbsp;is an interdisciplinary program offered by the&nbsp;Department of Industrial and Manufacturing Systems Engineering&nbsp;in the College of Engineering and Computer Science with the participation of the Department of Behavioral Sciences in the College of Arts, Science and Letters&nbsp;at the University of Michigan-Dearborn.</p><p>Human centered design related jobs are on the rise and appear under various titles, such as user experience designer, user interface designer, interaction designer, usability analyst, and product designer.</p><h4>Program Goals</h4><ul><li>Provide knowledge to research, explore, extend, and integrate theoretical and practical issues in design using a human centered approach.</li><li>Provide students with the ability to function in multidisciplinary teams and develop innovative solutions to real life design problems.&nbsp;</li><li>Prepare students for the carrier opportunities in human centered/experience design.</li></ul>",3.0,"Design,User Experience Design,Human Computer Interaction",1,1437,44547.0,1000,1500
Engineering Sciences (Data Sciences),M.Sc.,12,University at Buffalo SUNY - School of Engineering and Applied Sciences,Buffalo,New York,30.0,79,"<p>Students from the&nbsp;Engineering Science (Data Sciences) program from the University at Buffalo SUNY - School of Engineering and Applied Sciences&nbsp;will be trained in sound basic theory with an emphasis on practical aspects of data, computing and analysis.&nbsp;</p><p>Graduates will be able to serve the analytics needs of employers and will be exposed to several areas of application. The degree can be specialized using electives and a project. Classes will be modestly sized and emphasize best classroom practices while employing online resources to reinforce the classroom experience.</p><p>Students in this program will need some prior knowledge of mathematics, statistics and computing (commensurate with that from an engineering/natural science/math undergraduate program, see below for detail). The program can be completed in one calendar year of study.</p><h4>Careers</h4><p>This applied program trains students in the emerging and high demand area of data, and computing sciences. Students will be trained in sound basic theory with an emphasis on practical aspects of data, computing and analysis. Graduates will be able to serve the analytics needs of employers and will be exposed to several areas of application.</p>",3.0,"Informatics & Information Sciences,General Engineering & Technology,Data Science & Big Data",4,11550,23100.0,920,1560
Industrial Engineering,M.Sc.,12,Wichita State University,Wichita,Kansas,30.0,79,"<p>As s student in the Industrial Engineering program at Wichita State University, you&rsquo;ll have access to some of the best research facilities in the country and the chance to work and research with faculty and industry professionals on campus and throughout Kansas&rsquo; largest city.</p><p>Students must select a concentration and submit a plan of study during their first semester. Concentrations include:</p><ul><li>Operations Research</li></ul><ul><li>Systems</li></ul><ul><li>Production and Supply Chain Analytics</li></ul><ul><li>Quality and Reliability</li></ul><ul><li>Manufacturing Engineering</li></ul><ul><li>Human Systems Engineering</li></ul><h4>Careers</h4><p>Whether you&rsquo;re pursuing a promotion or preparing for a Ph.D., WSU&rsquo;s vast industry connections, research opportunities, and unmatched facilities create an environment for our engineering students to gain the expertise that leads to dream careers.</p>",3.0,"Industrial & Systems Engineering,Industrial Design,Informatics & Information Sciences",1,756,22680.0,878,1418
Management Information Systems,M.Sc.,12,The University of Arizona,Tucson,Arizona,33.0,80,"<h4>Opportunities in the Management Information Systems (MIS) program from University of Arizona</h4><p>MIS professionals are the &ldquo;communication bridges&rdquo; between IT and the business community. They analyze, design, implement, and manage IT applications and strategies to help solve business problems. MIS students first learn business processes and then analyze how to improve the processes using IT.</p><p>MIS professionals secure positions in website design and development, consulting, security risk assessment, internet marketing, Sarbanes-Oxley audit control, business analysis, customer relationship management consulting, eCommerce, legal forensics, medical records automation, enterprise resource planning, and supply chain management.</p><p>Eller College MIS students are prepared for the future because they learn more than technical skills &mdash; they learn how to apply technical skills in support of business processes.</p><p>Internships are an integral part of the MS MIS program providing students with practical and in-depth knowledge of American business culture. This insight, coupled with the theory learned during classes, gives students firsthand experience in translating technical and business concepts to real world scenarios.</p>",3.0,"Management, Organisation & Leadership,Business Information Systems",2,33600,33600.0,830,1140
Program and Project Management,M.Sc.,12,University of Michigan - Dearborn,Dearborn,Michigan,30.0,84,"<p>Nationwide, there is an increasing demand for skilled and experienced professionals who can develop, deploy, and manage locally and globally developed programs in a timely and efficient manner.</p><h4>Opportunities</h4><p>The Program and Project Management program of University of Michigan - Dearborn&nbsp;&nbsp;draws upon the expertise of the college&rsquo;s faculty members and industry practitioners to provide a comprehensive and practical knowledge in program and project management. While principles and theories are examined, the emphasis of the program is on application.</p><p>Students are equipped with strategies and tools to efficiently plan and organize resources so that programs and projects are completed on schedule, on budget, and with high-quality results. This program is ideal for professionals who want to enhance their ability to coordinate complex projects, motivate and manage people, and achieve cost-effective outcomes.</p>",3.0,"Project Management,General Engineering & Technology,Computer Sciences",1,1437,43110.0,1000,1500
Cybersecurity,M.Sc.,24,Drexel University College of Engineering,Philadelphia,Pennsylvania,45.0,100,"<p>Administered by the&nbsp;Electrical &amp;&nbsp;Computer Engineering Department&nbsp;in&nbsp;the College of Engineering, this program is interdisciplinary in nature and includes courses from&nbsp;Drexel&nbsp;University&#039;s&nbsp;College of Computing &amp; Informatics. Topics covered include&nbsp;computer networking,&nbsp;probability concepts,&nbsp;techniques for analyzing algorithms, dependable software design, reverse software engineering, intrusion detection, ethics, privacy, confidentiality, authenticity, and social networking.</p><p>The Cybersecurity program at&nbsp;Drexel University offers&nbsp;multidisciplinary&nbsp;&quot;research rotations&quot; as an independent study component of the degree program&nbsp;and an option to participate in the Graduate Coop Program.&nbsp;</p><h4>Graduate Co-op Program</h4><p>Students pursuing an MS degree may choose to participate in the graduate co-op tract. Students will have the opportunity to take a no-credit professional development course that will prepare them for the coop application process, in addition to providing resume critiques and interview skills. After completing 3 quarters of full-time coursework, students will then participate in coop for 6 months before returning to the classroom to complete their degree requirements. For more specific information relating to the graduate coop process, please consult the Graduate Coop Coordinator or the ECE Program Manager for Graduate Programs.</p>",3.0,"Computer Sciences,Cyber Security,Software Engineering",1,1342,60390.0,1313,2284
Customer Intelligence and Analytics,M.Sc.,12,Pace University,New York City,New York,30.0,80,"<p>In a world of increasing complexity and the proliferation of marketing channels, the MS in Customer Intelligence and Analytics at&nbsp;Pace University will prepare students to analyze and understand data from multiple platforms in order to drive smarter marketing and business strategies. Students will be provided an integrated approach including traditional marketing and the application of interactive, social, mobile, and emerging media technologies to create customer value.</p><h4>Career Path&nbsp;</h4><ul><li>Customer intelligence analyst</li></ul><ul><li>Market research analyst</li></ul><ul><li>Market research manager</li></ul><ul><li>Market research consultant</li></ul><ul><li>Business development manager</li></ul><ul><li>Business operations specialist</li></ul><ul><li>Marketing director</li></ul><ul><li>Marketing consultant</li></ul>",3.0,"Management, Organisation & Leadership,International Business,Data Science & Big Data",1,1344,40320.0,1819,3968
Computer Networking,M.Sc.,12,Wichita State University,Wichita,Kansas,30.0,79,"<p>You&rsquo;ll have access to some of the best research facilities in the country and the chance to work and research with faculty and industry professionals on campus and throughout Kansas&rsquo; largest city.</p><p>The Computer Networking program at Wichita State University combines the study of the theoretical foundations of computer networking and modern research trends. Courses are taught by nationally and internationally recognized faculty who are active researchers in the fields they teach.</p><h4>Careers</h4><p>Whether you&rsquo;re pursuing a promotion or preparing for a Ph.D., WSU&rsquo;s vast industry connections, research opportunities, and unmatched facilities create an environment for our engineering students to gain the expertise that leads to dream careers.</p>",3.0,"Informatics & Information Sciences,Computer Sciences,Data Science & Big Data",1,756,22680.0,878,1418
Computer Science,M.Sc.,24,Portland State University,Portland,Oregon,45.0,80,"<p>Students entering the program must have a bachelor&#039;s degree and adequate background in computer science, such as is obtained in an undergraduate Computer science program.&nbsp;</p><p>The Computer Science degree at Portland State University may be a good alternative to the post-bac program for those wishing to retrain in computer science from a different technical background. For them it can be completed in a little more than three years of full-time work, including background courses.</p><h4>Strategic Vision&nbsp;</h4><p>It is now possible to collect, process, and apply data at an unprecedented scale to solve significant societal problems. While applying computing to improve the overall well-being of people and the cities they live in is desirable, there are also significant concerns:</p><p>Concern about fairness, equity, transparency, and accuracy when using collected data for automated decision making that impacts people</p><p>Concern about the security and resilience of the cyber-infrastructure used to collect, transmit, store and manipulate city data as well as the privacy of the individuals in them</p>",3.0,"Computer Sciences,Software Engineering",1,671,30195.0,1271,2262
"Chemical Engineering (Modeling, Simulation and Informatics)",M.Eng.,12,University at Buffalo SUNY - School of Engineering and Applied Sciences,Buffalo,New York,30.0,79,"<h4>Opportunities</h4><p>The Chemical Engineering (Modeling, Simulation and Informatics) at the University at Buffalo SUNY - School of Engineering and Applied Sciences is designed to train students in computational and data-driven research techniques used in virtual laboratories that are increasingly augmenting and even replacing traditional research in the chemical and materials domains.&nbsp;</p><p>The corresponding skills &mdash; ranging from modeling and simulation to scientific scripting and programming to high-performance computing to big data analytics, machine learning, and informatics &mdash; are becoming vitally important in both academic and industrial settings.</p>",3.0,"Chemical Engineering,Materials Science & Engineering,Machine Learning",4,11550,23100.0,920,1560
Information,M.Sc.,12,The University of Arizona,Tucson,Arizona,30.0,79,"<p>Through highly interdisciplinary curriculum, community interaction opportunities, and emphasis on information engagement, the MS in Information (INFOMS) at&nbsp;University of Arizona&nbsp;aims to produce generations of information professionals and researchers who have the knowledge, skill, and ability to collaborate across disciplines to solve real-world information problems and address grand information challenges of today and the future.</p><h4>Education</h4><p>The School of Information (iSchool) is well positioned to provide world-class graduate education in many of the sub-disciplines of Information.&nbsp; In particular, our faculty has expertise to support graduate education in Information Ethics, Intellectual Property Rights, Information and Social Network Analysis, Computational Intelligence, Data Science, Information Systems, Healthcare Informatics, as well as Biodiversity and Ecological Informatics. The iSchool is actively engaged in collaborative research in other departments around the University of Arizona as well as other U.S. and international universities and research institutes.</p>",3.0,Informatics & Information Sciences,2,33600,33600.0,830,1140
Business Analytics,M.Sc.,12,The University of Texas at Arlington,Texas City,Texas,33.0,79,"<p>Students of the Business Analytics programme offered by&nbsp;The University of Texas at Arlington&nbsp;gain knowledge of a broad range of disciplines and functions in the business as well as specialized knowledge of business analytics and its accompanying skill set.&nbsp;</p><p>An intensive curriculum covering business intelligence, data mining, econometrics, marketing research, statistical techniques prepares students for careers in the field of business analytics.</p><h4>Careers</h4><ul><li>Systems developer</li><li>Systems analyst</li><li>Business analyst</li><li>Data analyst</li><li>Data scientist&nbsp;</li><li>Operations manager&nbsp;</li><li>Purchasing manager&nbsp;</li></ul>",3.0,"Business Administration,Business Intelligence & Analytics,Business Information Systems",2,20620,20620.0,882,1634
Software Development and Engineering,M.Sc.,12,Pace University,New York City,New York,36.0,80,"<h4>Key Features</h4><ul><li>Small class sizes ensure individualized teaching and an informal cohort-based experience that turns your classmates into teammates and colleagues of the future.</li><li>Learn the full software lifecycle, from management, design, programming, and development, through delivery, maintenance, and updating of software systems.</li><li>Get access to unique practical training opportunities in on-campus labs, as well as an international collaboration experience with other universities around the world.</li></ul><p>The Software Development and Engineering program from Pace University provides plenty of opportunities for you to practice your new knowledge through designing, building, and playing around with various apps. Outside of the classroom, there are countless other ways to hone your skills. Student clubs work together on cool programming projects, enter competitions, and come up with exciting app ideas together. Regular guest speakers provide insightful commentary on the current tech landscape and how to land the perfect job. And you&rsquo;ll be immersed in a community that wants to see you excel.</p><h4>Career</h4><p>As the second best job in the United States in U.S. News &amp; World Report&rsquo;s 2021 listing, software developers not only have their pick of thousands of job opportunities, but they benefit from high salaries as well.</p>",3.0,"General Engineering & Technology,Computer Sciences,Software Engineering",1,1375,49500.0,1819,3968
Computer Science,M.Sc.,12,University of Maryland Baltimore County (UMBC),Baltimore Highlands,Maryland,30.0,100,"<h4>Program Overview</h4><p>Students pursuing a Master&rsquo;s of Science (M.S.) in Computer Science at&nbsp;University of Maryland Baltimore County can choose from a thesis and a non-thesis option. The thesis option requires the completion of a thesis that must be defended with an oral examination and approved by the student&rsquo;s master&rsquo;s thesis committee.&nbsp;</p><p>In addition, thesis M.S. students must complete 30 credit hours, including 3 core courses, 1 breadth course and 6 credit hours of research. The non-thesis option requires the completion of a scholarly paper.</p>",3.0,Computer Sciences,1,1132,33960.0,0,0
Health Information Technology,M.Sc.,24,University of Michigan - Dearborn,Dearborn,Michigan,60.0,84,"<p>Medical and healthcare organizations are Information Technology (IT) intensive organizations and rely on IT professions with healthcare knowledge to design, implement, manage and utilize their IT resources better.</p><p>Health information technology careers give professionals remarkable new opportunities to improve quality and coverage in healthcare by lowering costs, helping to maximize efficiency and putting a stop to avoidable medical mistakes. Those with a dual passion for computer and medical sciences have a perfect career choice in Health Information Technology (HIT).</p><p>Advances in information technologies will change the way patients receive services and consume healthcare information. At the same time, healthcare providers, hospitals&nbsp;and insurance companies are under increasing pressure to provide quality services at affordable cost, hopefully with the help of advanced use of technologies.&nbsp;</p><h4>What will I Learn?</h4><p>The goals and objectives of the graduate degree in Health Information Technology program of University of Michigan - Dearborn&nbsp;&nbsp;are:</p><p>Goal 1: Students will apply IT knowledge to solve organizational problems.</p><p>Objectives: Students will be able to:</p><ul><li>design an information system for an organization</li><li>evaluate IT security risks of an organization</li><li>manage an IT project</li></ul>",3.0,"Informatics & Information Sciences,Health Informatics",1,1437,86220.0,1000,1500
Computer Science - Software Development,M.Sc.,12,Marist College,Poughkeepsie,New York,60.0,79,"<p>The Computer Science - Software Development programme from&nbsp;Marist College&nbsp;&nbsp;is designed for individuals who hold a bachelor&#039;s degree in computer science or a closely allied field. Those with little formal exposure to the field may acquire the appropriate preparation via undergraduate course work in computer science and mathematics. Prerequisite requirements can range from 0-12 credits depending on a student&#039;s background.</p><h4>Key facts:</h4><p>This 57,000-square-foot Hancock Technology Center, overlooking the Hudson River, has been designed to help fulfill the Marist goal of infusing information technology into all of its academic disciplines.</p>",3.0,"Informatics & Information Sciences,Computer Sciences,Artificial Intelligence",1,850,51000.0,1138,2480
Information Technology,M.Sc.,18,University of Massachusetts Boston,Boston,Massachusetts,30.0,90,"<p>The Master of Science Information Technology (MSIT) program from the University of Massachusetts Boston&nbsp;is a 10 course, 30 credit degree program: Five (5) required MSIT courses, four (4) required MSIT electives, and the required MSIT Capstone course.&nbsp;Four (4) pre-requisite courses must be satisfied or&nbsp;waived&nbsp;through prior relevant coursework, based on a review of transcripts.</p><p>International students will be required to maintain full-time student status (minimum of 3 courses per semester).&nbsp;</p><h4>Learning Objectives</h4><p>The learning objectives for the Master of Science Information Technology (MSIT) Program are for students to:</p><ul><li>Develop a critical understanding of the technical foundation of information systems to support day-to-day business operation.</li><li>Deploy information technology assets effectively to support business processes and generates competitive advantages.</li><li>Apply critical thinking and analytic competence to complex information systems problems.</li><li>Equip students with communication, leadership and team-based skills necessary for successful careers in business environments.</li></ul>",3.0,"Informatics & Information Sciences,Business Information Systems,Computer Sciences",1,1520,45600.0,1560,3239
Game Design,M.Sc.,12,Full Sail University,Winter Park,Florida,41.0,79,"<p>The Game Design program at Full Sail University focuses on user experience research, production, and design.&nbsp;&nbsp;</p><p>You&rsquo;ll choose a track that allows you to focus on your chosen area of expertise, whether that&rsquo;s working as a user experience researcher, producer, or game designer to create and publish games, or specializing in a genre or industry niche to evaluate and enhance existing real-world products.</p><h4>Course highlights</h4><ul><li>Methods and the User Experience - This course provides a scientific framework for defining and testing variables that exist within the sometimes-ambiguous process of game design.</li></ul><ul><li>Prototyping and Content Creation - This course focuses on providing students with the tools and techniques required for the development of functional prototypes, allowing them to test and refine their design concepts.</li></ul>",2.0,"Design,Graphic Design,Video Games & Multimedia",3,31880,31880,900,1400
Information Technology,M.Sc.,12,Southern New Hampshire University,Manchester,New Hampshire,36.0,71,"<p>Learn how to bridge the gaps between communications, IT and business management and increase your marketable skills with the Master of Science in Information Technology degree program at Southern New Hampshire University.</p><p>The master&#039;s in information technology degree at&nbsp;Southern New Hampshire University, which is taught during the day on our campus in Manchester, helps you master a specialized skillset and take a deep dive into the foundational understanding of technology, communication skills and contemporary issues in the field. It all adds up to the leverage you need to land a principal role in a broad range of industries.</p><p>As a private, nonprofit university, SNHU has one mission - to help you see yourself succeed.&nbsp;</p><h4>The benefits of earning your master&#039;s in IT at SNHU include:</h4><ul><li>Supportive community. Join the SNHU campus community of students who are closely connected with faculty and staff dedicated to your success.</li><li>Affordability. SNHU is one of the most affordable private, nonprofit universities in New Hampshire.</li><li>Accessible faculty. Learn from highly credentialed faculty who are experts in their fields and interact with you in the classroom, dining hall, fitness center and the stands.</li><li>Efficiency and flexibility. Complete your graduate degree on campus in 12-18 months, with 3-5 courses per 16-week term.</li><li>Minimal requirements. No GRE or GMAT required for admission.</li><li>Opportunity. Tap into our nationwide network of alumni and strong connections with employers for internship and career opportunities.</li><li>Campus experience. Enjoy more than 50 student clubs, champion Division II athletics and fun events on our 300-acre campus in Manchester, NH, named a &quot;Best Place to Live&quot; by Money magazine.</li></ul><h4>Career Outlook</h4><p>With the growing demand for more business professionals with IT expertise, graduates of this program will be prepared for a variety of employment opportunities. You can pursue careers such as systems architect, systems software manager, systems analyst, business analyst, data processing manager, director of information technology or chief information officer.&nbsp;</p>",2.75,"Informatics & Information Sciences,Business Information Systems",2,12600,12600.0,990,1785
Computer Science,M.Sc.,12,Wichita State University,Wichita,Kansas,30.0,79,"<p>You&rsquo;ll have access to some of the best research facilities in the country and the chance to work and research with faculty and industry professionals on campus and throughout Kansas&rsquo; largest city.</p><p>The Computer Science program at Wichita State University combines the study of the traditional areas of computer science and modern research trends.</p><h4>Careers</h4><p>Whether you&rsquo;re pursuing a promotion or preparing for a Ph.D., WSU&rsquo;s vast industry connections, research opportunities, and unmatched facilities create an environment for our engineering students to gain the expertise that leads to dream careers.</p>",3.0,Computer Sciences,1,756,22680.0,878,1418
